word,polarity
daidai da haƙƙoƙi,1
daidai da,1
kara,1
asusun da za'a biya,1
karawa,-1
karawa,-1
karin bayanai,-1
accretive,-1
acculturation,1
tarawa,1
daidai,1
la'anta,-1
zargi,1
zargi,1
saba,1
ace,1
ace na spades,-1
acel salon,-1
acentric,-1
jijiya,-1
jijiya,-1
hannanna,-1
acerb,-1
acerbate,-1
acerbic,-1
acetaminophen,-1
acetin,-1
acetoacetic acid,-1
acetonemia,-1
acetonuria,-1
acetose,-1
acetous,-1
acetum,-1
ciwo,-1
acheronian,-1
acherontic,-1
cimma nasara,1
ciwo,-1
surarin_sarkarai,-1
achlorhydria,-1
achlorhydric,-1
achoerodus gouldii,1
acholia,-1
achondritic,-1
achondroplasia,-1
achondroplasty,-1
achromatic,-1
achromatous,-1
achylia,1
achylia gastrica,1
acid,-1
kafa acid,-1
mai son acid,-1
dandano acid,-1
acidemia,-1
mai guba,-1
acidophilus,-1
madarar acidophilus,-1
acidotic,1
acidulent,-1
acidistic,-1
amince,1
yarda,1
amincewa,-1
amincewa,-1
kuraje,-1
kuraje rosacea,-1
kuraje,-1
acneiform,-1
acnidosporidia,1
acorea,-1
aan aphasia,-1
guitar,1
acoustically,1
sani,1
rashin yarda,1
kyawawa,1
saya,1
samu hemochromatosis,-1
samu rigakafi,1
barrantar da,1
barrantacce,1
acrid,1
acrimonious,1
acroanaesthesia,-1
maganin kumburin ciki,-1
acrobatic,1
santa feat,-1
wasan acrobatic,-1
acrobatics,1
acrocyanosis,-1
acromegalia,-1
acromegaly,-1
acrophobia,1
acrophobic,-1
acrylamide,-1
acrylic,-1
yi aiki,1
wasan kwaikwayo,1
actinic dermatitis,-1
akin,-1
aiki,-1
sarkarini,-1
yakasai,1
aiki,1
aiki a doka,1
aikin zane,1
sake kunnawa aiki,1
kunna,-1
kunnawa,1
kunnawa,1
aiki,1
wakili mai aiki,1
rigakafin aiki,1
rayayye,1
aiki,1
ainihin,-1
ainihin zunubi,1
aiki da aiki,1
aiwatar da aiki,1
aiki da aiki,1
aiwatar da aiki,1
a zahiri,1
aculeate,1
aculeated,1
acuminate,1
acupuncture,-1
m cutar shan inna,-1
m kwakwalwa cuta,1
m gastritis,-1
m glaucoma,1
m glossitis,-1
m gazawar koda,-1
m lymphoblastic cutar sankarar bargo,-1
m lymphocytic cutar sankarar bargo,-1
m myelocytic cutar sankarar bargo,-1
myeloid cutar sankarar bargo,-1
m kwayar cuta ta kwakwalwa,1
m pyelonephritis,-1
m koda gazawar,-1
airkirin,-1
ad infinitum,-1
ad lib,1
ad libitum,1
ada scid,-1
amintylia,-1
adactylism,-1
adactylous,-1
adactyly,-1
adagio,1
adams yana haifar da ciwo,-1
daidaita,1
mai daidaitawa,1
Na'urar daidaitawa,1
adar sheni,1
adaxi,1
ƙara,1
kara zuwa,1
wanda za'a iya ƙarawa,1
abin yarda,1
buri,1
jaraba,-1
cutar addison,-1
ciwon Addison,-1
ƙari,-1
ƙari,-1
ƙari,-1
addressable,1
jawabi,1
adelges abietis,-1
adelges piceae,-1
adenitis,-1
adenocarcinoma,-1
adenomyosarcoma,-1
adenomyosis,-1
ciwon mara,1
adenosine monophosphate,1
adenylic acid,1
isasshe,1
isasshen zuwa,1
daidai,1
adermin,1
adhd,1
bi,1
m,-1
adipic acid,-1
adamuwa,1
dakin hade,-1
rantsuwa,1
daidaita,1
daidaitacce,1
gyara,-1
adjustive,1
daidaitawa,1
gudanarwa,1
abin sha'awa,1
sha'awa,1
admiringly,1
shiga,1
shigar da,1
wa'azi,1
adobe,1
adoptable,1
soma,1
mai riƙo,1
adorably,1
sujada,1
yin sujada,1
yi ado,1
qawata,1
ado,1
adrenergic,1
adrenergic agonist eyedrop,1
maganin adrenergic,1
adrenocorticotrophic,1
adrenocorticotropic,1
adroit,1
adroitly,1
tallatawa,1
ulateauna,1
babba,-1
ilimin manya,-1
zina,-1
fasikanci,1
yi kabbara,1
adust,-1
ci gaba,1
ci gaba,1
ci gaba,1
amfani,1
amfani,1
zuwan,1
kasada,1
kasada,1
yawon buxe ido,1
ra'ayi mara kyau,-1
mara kyau,1
masifa,-1
mai talla,1
a talla,1
sashen talla,1
rarraba tallace-tallace,1
advil,-1
bu mai kyau,1
nasiha,1
a nasiha,1
gabatarwa,-1
adynamic,-1
aegis,-1
surajansada,1
karin iska,-1
matsakaici,-1
aerobe,1
aerobic,1
na ado,1
na ado,1
ilimin halittu,1
nesa,1
afeard,-1
afeared,-1
mai yiwuwa,1
amintacce,1
shafi,-1
abin ya shafa,1
shafi,-1
shafi,1
soyayya,1
cikin so,1
soyayya,1
cuta mai tasiri,-1
tabbatarwa,1
m,1
tabbatacce,1
tabbatacce,1
manna,1
wahalar,-1
wahala,-1
wahala,-1
wadata,1
alfasha,-1
tsoro,-1
cin fuska,-1
afibrinogenemia,-1
aflaxen,-1
mai haske,1
tsoro,-1
Afirka kada,-1
african Monitor,-1
afro wig,-1
bayan gaye,-1
bayan duk,-1
bayan awowi,-1
bayan gari,1
bayan tunani,-1
agalactia,-1
agalactosis,-1
agammaglobulinemia,-1
agape,1
agape soyayya,1
shekaru,1
shekarun yarda,-1
shekarun kifi,1
shekarun dabbobi masu shayarwa,1
tsufa,1
tsufa,1
tsananta,-1
tsananta,-1
mummunan rauni,-1
tsanantawa,-1
zalunci,-1
m,1
cikin tashin hankali,1
tashin hankali,-1
aggro,-1
girgiza,1
agilely,1
tashin hankali,1
tashin hankali,-1
tashin hankali,-1
agleam,1
aglow,1
agnatha,-1
agnathan,-1
tashin hankali,1
tashin hankali,1
agnosia,-1
agonal,-1
agonizingly,-1
azaba,-1
agoraphobic,-1
agranulocytic,-1
agranulocytosis,-1
agranulosis,-1
agrapha,-1
yarda,1
m,1
yarda,1
cinikin abu,1
noma,1
tashin hankali,1
aguish,-1
gaba,1
gaba da lokaci,1
ahimsa,1
taimako,1
lafiya,-1
mai ciwo,-1
ciwo,-1
ailurus,-1
nufin,1
mara dalili,1
iska,-1
iska ta bushe,-1
iska ta bushe,-1
iska ta cika,-1
fitar da iska,-1
iska mara lafiya,-1
sararin sama,-1
iska matse,-1
aike,-1
airedale,-1
airedale terrier,-1
airily,1
mara iska,-1
jirgin sama,1
rashin iska,-1
filin jirgin sama,-1
rashin iska,-1
mai iska,-1
akeridae,-1
alabaster,-1
alalia,-1
ƙararrawa,-1
ƙararrawa,1
firgita,-1
firgita,-1
da firgici,1
ƙararrawa,-1
alary,-1
kash,-1
alauda arvensis,1
albers schonberg cuta,-1
zabiya,-1
zabiya,-1
zabiya,-1
zabiya,-1
albinotic,-1
albuminuria,-1
alcalescent,-1
alcaptonuria,1
shaye-shaye,-1
shayarwa,-1
aldactone,-1
alder blight,-1
aleppo tafasa,-1
jijjiga,1
faɗakarwa,-1
a hankali,1
aleve,-1
alexia,-1
alga,-1
algae,-1
algebraically,1
rashin nutsuwa,1
algolagnia,-1
algorajanik,-1
algometry,-1
algophilia,-1
algophobia,-1
algophobic,-1
kuskuren algorithm,-1
alibi,-1
nisantawa,-1
nisantar soyayya,-1
aliform,-1
tsara,1
daidai,1
alimental,1
alimentary,1
mai rai,1
alizarin rawaya,-1
alkalemia,-1
alkalescent,-1
cutar alkali,-1
alkaline mai kauna,-1
alkalosis,-1
alkalotic,1
alkaptonuria,1
duka,1
gaba ɗaya,1
duk cinyewa,-1
duk an kora,-1
duk sani,1
an gama duka,1
shi ke nan,1
duk iri daya ne,-1
duk hanyar,-1
allantoic,1
allargando,1
kamar yadda yake,1
kamantawa,-1
ruwayar,1
allegro con spirito,1
rashin lafiyan,-1
rashin lafiyan dauki,-1
rashin lafiyar rhinitis,-1
rashin lafiyan,-1
lafazin,-1
sauƙaƙa,1
sauƙaƙawa,1
alleviator,-1
alley cat,-1
alliaceous,-1
kada,-1
akullum,1
allomerism,-1
allopurinol,-1
rabewa,1
rabe-raben gado,1
ba da izini,-1
yarda,1
almond mai ƙanshi,-1
sadaka,-1
sadaka badawa,-1
sadaka,-1
aloes,1
hawa sama,1
kau da kai,1
rashin son kai,-1
alopecia areata,-1
alpha globulin,-1
alpha lipoprotein,1
mai tsire-tsire,-1
alpinism,-1
riga,1
lafiya,1
tsayi,1
canza,-1
canzawa,1
sabani,1
sabani,-1
canza,-1
canzawa,-1
gaba ɗaya,1
mai girman kai,1
yawanci,1
alumina,-1
tagulla na aluminum,1
aluminum oxide,-1
tagulla na aluminum,1
aluminum oxide,-1
resorption na alveolar,-1
alveolitis,-1
koyaushe,-1
alzheimer ta,-1
cutar alzheimer,-1
alzheimers,-1
amain,-1
amalgamative,-1
amastia,-1
amateurishly,1
amativeness,1
amaurosis,-1
amaurotic,-1
yi mamaki,-1
mamaki,1
mamaki,-1
ban mamaki,1
abin mamaki,1
burinsu,-1
shubuha,1
ambiguously,1
buri,1
rashin buri,1
m,1
burin,1
ambivalence,-1
ambivalency,-1
ambivalent,-1
ambrosial,1
ambrosian,1
ambuscade,-1
kwanto,-1
amd,1
amebiasis,-1
amosanin fitsari,-1
amebiosis,-1
ameboid,-1
amelia,-1
ameliorate,1
ingantawa,-1
gyarawa,1
ameliorative,-1
amelioratory,-1
amintacce,-1
gyara,1
gyara,1
kyautatawa,-1
gyara,-1
aminiya,-1
amenorrhea,-1
amenorrhoea,-1
haushin amurka,1
cuku american,-1
Amurka dokin sirdi,1
amethopterin,-1
amethyst,-1
ametria,-1
ametropia,-1
ametropic,-1
amiya,-1
amiability,1
amin,1
amin,1
amicability,-1
amicableness,-1
cikin nutsuwa,1
amino,1
kungiyar amino,1
aminoaciduria,1
rashin lafiya,-1
ammodytes,-1
ammoniya,-1
ammoniate,-1
ammoniated,-1
ammonmon,-1
ammoniuria,-1
amnesic aphasia,-1
amshi na aphasia,-1
aminu,1
amnionic,1
amniotic,1
amobarbital,-1
amoebiasis,-1
amoebic dysentery,-1
amoebiosis,-1
amoeboid,-1
amok,1
cikin nutsuwa,-1
amoristic,1
barkwanci,1
barkwanci,1
amorphous,-1
adadin,-1
amour propre,-1
amp,1
Amfani,-1
amphipod,1
ammar_maminu,1
azadar_e_hussein,1
Amfani,1
amphisbaena,-1
amphisbaeniya,-1
amphistylar,1
Amfani,1
fadada,1
amply,1
ampulla,-1
yanke hannu,-1
amrinone,1
layya,1
nishadantarwa,1
shagala,-1
ban dariya,1
amygdaline,1
amyl,1
amyl nitrate,-1
amylaceous,1
amyloid,1
amyloidal,1
amyloidosis,-1
amyotoniya,-1
amyotrophia,1
amyotrophy,1
amyxia,-1
anabolic,1
anacanthini,-1
rashin lafiya,-1
bazuwar,1
anacin iii,-1
mara kyau,1
rashin ciki,-1
karancin jini,1
anaerobe,-1
anaerobic,-1
anaerobiotic,-1
maganin sa barci,-1
anaglyph,-1
rashin azanci,-1
rashin ilimi,-1
analbuminemia,-1
analgesia,-1
analgesic,-1
daidai,1
Tsarin rubutu,-1
yi nazari,-1
mai nazari,1
na nazari,1
daidaitaccen bincike,1
yi nazari,-1
mafi kyau,-1
m,-1
anaphrodisia,-1
anaplasty,1
anaprox,-1
rashin lafiya,-1
dabba mai rarrafe,-1
rashin tsari,1
rashin zaman lafiya,-1
anarhichas,-1
anasa,-1
anasarca,-1
anasarcous,-1
anaspida,-1
anastigmatic,-1
ruwan tabarau,1
anastomose,-1
anastylosis,-1
anathema,-1
ilimin lissafi,-1
lissafi,-1
sunan mutum,-1
anathemize,-1
anatomically,1
anatomize,1
ilmin jikin mutum,1
anatoxin,-1
anchoritic,1
anchylosis,-1
ancylus fluviatilis,-1
andante,1
androsterone,1
karancin jini,1
anemic anoxia,-1
karancin hypoxia,-1
anencephalic,-1
anencephalous,-1
kuzari,1
aneroid,-1
aneroid barometer,-1
maganin sa barci,-1
sake kamuwa da jini,-1
rashin lafiya,-1
sake kamuwa da cuta,-1
mara aiki,-1
mala'ika,1
fushi,-1
angiitis,-1
angina,-1
angina pectoris,-1
mara amfani,-1
anginose,-1
fushi,-1
angioedema,-1
angiohemophilia,-1
angiopathy,-1
angioplasty,-1
kwana,-1
kwana rufe glaucoma,1
kusurwa,1
anglian,1
anglophilic,1
anglophobic,1
a fusace,-1
bacin rai,-1
fushi,-1
angst,-1
anguidae,-1
azaba,1
azaba,-1
azaba,-1
tashin hankali,1
angwantibo,1
anhedonia,-1
animadvert,-1
dabba,-1
rukunin dabbobi,-1
mulkin dabbobi,-1
kafar dabba,-1
tsarin dabbobi,-1
guba ta dabba,-1
bautar dabbobi,-1
dabbaia,-1
dabba,-1
animalize,-1
mai rai,1
rai mai rai,-1
mai rai,1
mai rai,1
tashin hankali,1
ƙiyayya,-1
animus,-1
rashin hankali,-1
mahaukaci,1
anionic abu don wanka,-1
kuki anisi,-1
anisi mai kamshi,-1
aniseikonia,1
anisette,1
anisette de bordeaux,1
anisometropia,1
anisometropic,1
rashin nutsuwa,1
ankylosaur,1
ankylosaurus,1
ankylosis,-1
annelida,1
halakarwa,-1
bacin rai,-1
m,-1
m,-1
mai ban haushi,-1
kowace shekara,-1
anodyne,-1
rashin cikawa,1
rashin lafiya,-1
anomia ephippium,1
anomic aphasia,-1
anomiidae,1
anon,-1
anon.,-1
rashin sani,-1
m,-1
ba suna,-1
anopheles,-1
karin bayani,-1
anopia,-1
anoplura,-1
rashin cin abinci,-1
anorchidism,-1
rashin zaman lafiya,-1
rashin nutsuwa,-1
rashin abinci,-1
rashin abinci,-1
anorgasmia,-1
anosmia,-1
manstraca,-1
anoxemia,-1
anoxemic,-1
anoxia,-1
m,-1
anoxia anoxia,-1
amsa,-1
anseres,1
anseriformes,-1
amsa,1
tururuwa thrush,1
adawa,-1
mai adawa,1
antagonistically,1
haihuwa,-1
antepartum,-1
anterograde,-1
antheraea,1
rashin lafiya,1
anthonomus,-1
anthonomus grandis,-1
anthracite,-1
kwal din anthracite,-1
anthracosis,-1
anthrax,-1
anthropoidea,1
sashen ilimin halayyar dan adam,1
ilimin halittar mutum,-1
anti mai kumburi,-1
anti mai kumburi magani,-1
anti takeover tsaron,-1
maganin tashin hankali,-1
maganin rigakafi,1
maganin rigakafi,1
maganin rigakafi,1
maganin kansa,-1
yi tsammani,-1
jira,1
tsammani,1
antilimactic,1
mai cin amana,1
maganin rigakafin ciki,1
maganin damuwa,-1
maganin antidepressant,-1
rashin ciwon suga,-1
maganin ciwon sikari,-1
maganin rigakafi,-1
maganin guba,-1
antiemetic,-1
maganin antiemetic,-1
antiepileptic,1
maganin antiepileptic,1
maganin mata,1
factor antihaemophilic,-1
antihaemophilic globulin,-1
antihemophilic factor,-1
antihemophilic globulin,-1
antimalarial,1
maganin zazzabin cizon sauro,1
antimycin,-1
maganin antineoplastic,-1
maganin rigakafi na antineoplastic,1
factor antiophthalmic,-1
rashin tausayi,-1
antipernicious anemia factor,-1
antiphrasis,-1
antiprotozoal,-1
maganin antiprotozoal,-1
antipruritic,1
maganin tabin hankali,1
antipsychotic wakili,1
maganin tabin hankali,1
maganin rigakafi,-1
wanda bai isa ba,-1
maganin zafin jiki,1
ba da gaba ba,1
antitoxic,-1
antitoxin,1
antitumor,-1
antitumour,-1
antivenene,-1
antivenin,-1
antiviral,1
mai rashin hankali,-1
anuresis,-1
anuretic,-1
anuria,-1
anuric,-1
jika,-1
damuwa,-1
tashin hankali,-1
damuwa tashin hankali,1
damuwa neurosis,1
tashin hankali dauki,1
rashin damuwa,1
miyagun ƙwayoyi,-1
damuwa,-1
damuwa,-1
bugun ciki,-1
aortitis,-1
apadana,1
baya,-1
rashin kulawa,1
rashin kulawa,-1
apc,-1
biri,-1
aperient,1
aphakia,-1
aphakic,-1
aphasia,-1
aphasic,-1
karin magana,-1
aphotic,-1
aphrodisia,1
aphrodisiac,1
tsabtace,1
aplacophoran,-1
karancin jini,-1
karancin jini,-1
aplysia,-1
Apocalypse,-1
afuwa,-1
apodeictic,1
apodictic,1
da gafara,1
yi hakuri,-1
yi hakuri,-1
apomorphine,-1
apophasis,1
plearfin ciki,-1
akasari,-1
yi annabci,-1
amsar,1
apothegmatical,1
appalachian,1
firgita,1
m,-1
a fili,1
bayyana,-1
daukaka kara,1
roko,-1
roko,1
bayyanuwa,1
kwantar da hankali,-1
appendicitis,-1
appendicularia,1
m,1
ci,-1
sha'awa,-1
cin abinci,1
ci abinci,-1
cin abinci,1
abin yabawa,1
ƙwayar apple,1
apple gwangwani,1
apple mai kamshi,-1
tuffa tuffa,-1
aikace-aikace,1
nada,1
misãli,1
hanzartawa,1
kimantawa,1
godiya,1
godiya,1
godiya,1
godiya,-1
kama,1
fargaba,-1
fargaba,-1
fargaba,-1
bayyana,1
yaba,1
karawa,1
ingantawa,1
dace,1
yadda ya dace,1
yarda,1
yarda,1
yarda,1
kamar,1
apraxia,-1
apropos,1
dace,1
apteral,-1
mai son ci gaba,-1
daidai,1
apus,-1
tetanus na apyretic,-1
aquaphobic,-1
Larabawa,1
larabawa,1
Balarabe,1
arachnid,-1
arachnoid,-1
arachnophobia,1
arame,-1
araroba,-1
sabani,1
gidan kashe ahu,-1
arced,1
arcella,-1
baka,1
archaicism,-1
archaism,-1
archaistic,-1
babban mala'ika,1
archangelical,1
archducal,-1
arched,1
archepiscopal,1
tarihin,-1
kayan aiki,1
collobus archilochus,1
baka,1
arcidae,-1
arciform,1
arctic,-1
arctiid,1
asu arctiid,1
arctiidae,-1
arctocebus calabarensis,1
arcuate,1
m,1
tsawaitawa,1
son kai,1
son kai,1
ARDS,-1
arduously,1
areflexia,-1
filin wasan kwaikwayo,-1
arenaceous,-1
zazzabin basir na argentine,-1
argillaceous,-1
arginine,-1
argonaut,1
argonauta,-1
argonauta argo,1
karas,1
jayayya,1
muhawara,1
cikin gardama,1
argus ido,1
bushe,-1
rashin ruwa,-1
bushewa,-1
madaidaiciya,1
ariidae,-1
tashi,-1
aristocratically,1
ta hanyar lissafi,1
arius,-1
armadillidiidae,-1
armadillidium,-1
Armageddon,-1
dauke da makamai,-1
ranar sojoji,1
armerican cheddar,-1
cocin Arminiya,1
mai kama da hannu,-1
sulke,-1
kayan yaƙi,-1
sulke,-1
sulke,-1
dinosaur mai sulke,1
motar sulke,-1
sulke,-1
kayan yaƙi,-1
sulke,-1
sulke,-1
motar sulke,-1
bukkar sojoji,1
sojojin tsutsa,-1
dansanda,-1
aromat,1
kewaye,1
tashin hankali,1
ta da,1
tada,-1
tsara,-1
shirya,1
tsararru,-1
arrhythmia,-1
tashin hankali,-1
girman kai,1
kibiya mai siffa,1
arroz con pollo,1
jaki a kusa,1
fasaha,1
sashen fasaha,1
kayan fasaha,1
takardar zane,1
Hanyar hanya,1
arteriectasia,-1
jijiyar jini,-1
arteritis,-1
jijiya,1
fasaha,1
da fasaha,1
amosanin gabbai,-1
amosanin gabbai,-1
amosanin gabbai,1
bayyana,-1
bayyana,-1
a bayyane,1
na wucin gadi,-1
fure mai wucin gadi,-1
numfashi na wucin gadi,-1
na wucin gadi,-1
fasaha,1
kirkirar fasaha,1
samar da fasaha,1
ta hanyar fasaha,1
mara fasaha,-1
mara fasaha,1
zane-zane da kere-kere,1
kamar yadda,-1
a matsayin gaskiya,1
kamar dai ta hanyar sihiri,1
kamar yadda yake,-1
kamar yadda sa'a zata samu,1
saboda haka,1
kamar yadda aka saba,1
kamar yadda muke fada,1
asafetida,-1
asafoetida,-1
asbestosis,-1
mai hawa,-1
mai hawa,-1
hawa sama,-1
mai hawan sama,-1
tabbatar,-1
ascesis,1
ascetically,1
zuhudu,1
asher_ankumar,1
ascidian tadpole,1
wanda za'a iya siffantawa,-1
ba da dadewa ba,1
kunya,-1
da kunya,-1
ashen,-1
asiya mura,-1
cutar kwalara,-1
cutar asatic,-1
gefe,-1
asilidae,-1
asinine,1
tambaya,1
nemi shi,-1
nemi matsala,-1
askance,-1
barci,-1
asfartame,1
ciwon asperger,-1
aspergillosis,-1
kwaskwarima,1
ciwon kai,1
asphyxia,-1
shaka,-1
mai dauke da mayuka,-1
mai son,1
buri,1
fata ciwon huhu,-1
burin,1
masu hankoro,1
mai kashewa,-1
kashe,-1
hari,-1
hari da batir,-1
gwaji,1
assentient,1
tabbatar,1
takaddama,1
nace,1
tantance,1
tantancewa,1
assibilate,1
sanyawa,1
aiki,1
assimilate,1
assimilating,-1
assimilative,-1
assimilatory,-1
taimaka,1
taimako,1
m,1
shirki,-1
tarayya,-1
assoil,1
bayarwa,1
assu alkawari,1
assuasive,1
ɗauka,-1
dauka,-1
zato,-1
tabbatar,1
tabbatar,1
tabbas,-1
tabbatar,1
astasia,-1
astatic,-1
karin,1
asteroidea,1
asthenia,-1
asthenic,-1
astheny,-1
asma,-1
ciwon asma,-1
astigmatism,-1
astigmia,-1
asomatal,-1
astomatous,-1
mamaki,1
mamaki,-1
mamakin,1
abin mamaki,1
mamaki,1
mamaki,-1
yi mamaki,-1
yi mamakin,1
astraphobia,1
astringent,-1
a hankali,1
astylar,-1
mafaka,-1
rashin daidaituwa,-1
rashin daidaituwa,-1
asymmetrically,1
asymptomatic,-1
asynchronous,-1
asykant,-1
asyndeton,1
asynergia,-1
rashin damuwa,-1
rashin ƙarfi,-1
asystole,-1
kwata-kwata,1
a kowane hali,-1
a kusa da kusa,1
da farko kallo,-1
a farkon gani,-1
at manyan,-1
aƙalla,-1
a lokacin hutu,1
a tsawon,1
a mafi yawancin,-1
a lokaci daya,-1
a zaman lafiya,-1
a bazuwar,1
a huta,-1
aƙalla,-1
a mafi yawan,-1
atabrine,-1
atactic,-1
atactic abasia,-1
ataractic,-1
ataraxic,-1
ataraxis,-1
ataxia,-1
ataxic,-1
ataxic abasia,-1
ataxic aphasia,-1
ataxy,-1
yan wasa kafa,-1
mai tsere,1
wasan motsa jiki,1
davan,-1
codararriyar atlantic,1
jirgin ruwa mai tsire-tsire,1
lambar atomic 1,-1
lambar atomic 3,-1
lambar atomic 32,1
lambar atomic 43,-1
lambar atomic 54,-1
lambar atomic 79,-1
atonal,-1
atonalism,-1
atonality,-1
atonia,-1
atonic,-1
atonicity,-1
atony,-1
atopic dermatitis,1
atopic eczema,1
atopognosia,-1
atopognosis,-1
atoxic,-1
atrial septal lahani,-1
atrioventricular toshe,-1
mai girman kai,-1
atsallaka,-1
zalunci,-1
atrophedema,-1
atrophic amosanin gabbai,-1
atrophy,-1
atropidae,-1
makala,1
mai iya suwa,1
kai hari,-1
iyawa,1
isarwar,1
attar na wardi,1
ƙoƙari,-1
hankali,1
rashin kulawar hankali,1
hankali samun,1
m,1
hankali,1
attenuate,-1
rage girma,-1
shaida,1
tufafi,-1
m,1
na jan hankali,1
sanadin,1
sananne,1
sananda,-1
takaitawa,-1
ƙwanƙwasawa,-1
atypical,-1
cututtukan ciwon huhu,1
atypically,1
au,-1
kumburi,-1
sakarai,1
ji,1
masu sauraro,1
duba,1
agnosia mai ji,-1
aphasia mai sauraro,-1
sauraro,1
gidan augean,-1
aura,-1
aral,1
zakariya,1
aljannu,1
aljannu,-1
mai nasara,1
macijin murjani na Australiya,-1
magi na Australiya,-1
mulkin mallaka,1
mulkin mallaka,1
autarkical,1
na kwarai,1
izini,-1
iko,1
izini,-1
autistic,-1
iyakancewar mota,1
autobahn,1
mulkin kai,1
ciwon sukari na autoimmune,-1
sauke kansa,1
atomatik,-1
ta atomatik,1
automatism,-1
automysophobia,-1
autosomal rinjaye cuta,-1
rashin lafiyar autosomal,-1
autosomal recessive lahani,-1
autosomal recessive cuta,-1
autotype,1
karin fanfo,1
ajiyar mataimaki,-1
wadatar,1
akwai,1
dusar kankara,-1
son kai,-1
akiya,1
avaritia,-1
rama,-1
matsakaita,-1
matsakaita,-1
kyama,-1
ƙyama far,1
wanda za a iya,1
avertible,1
avidly,1
avirulent,-1
avitaminosis,-1
kauce,-1
abin gujewa,1
kaucewa,1
avuncular,1
jira,-1
tashi,1
farka,1
lashe lambar yabo,1
sani,1
tafi,-1
tsoro,1
mai ban tsoro,1
mummunan,-1
da ban tsoro,-1
m,-1
awkwardly,1
mara rumfa,-1
awry,-1
rike gatari,-1
rike gatari,-1
axerophthol,-1
axially,1
axiom,-1
ayrshire,1
azoimide,-1
azonal,-1
azonic,-1
azote,-1
azymia,-1
babel,-1
babinski,1
babinski mai saurin fahimta,1
alamar babinski,1
baboonish,1
jariri ya fuskanta,1
baccate,1
bacchanal,1
bacchanalia,1
maizamani,1
ciwon mara na bacillary,1
bacillary farin zawo,1
bacillary farin zawo,1
bacitracin,1
baya,1
baya baya,-1
yi baya,1
buga baya,-1
koma baya,-1
ja da baya,-1
bango,1
bango amo,-1
dawo da baya,-1
mara baya,-1
hasken haske,-1
koma baya,-1
mara baya,-1
koma baya,-1
bayan fage,-1
kalmar baya,1
baya,1
naman alade tumatir sandwich,-1
naman alade,1
naman alade,1
bakteriya,-1
kwayoyin cuta,1
kwayoyin cuta,1
kwayoyin cuta,-1
kwayoyin cutar bakteriya,-1
yakin basir,-1
kwayoyin cuta,-1
kwayoyin cuta,-1
kwayoyin cuta,1
bacteroides,-1
mara kyau,-1
mummunan jini,-1
rashin sa'a,-1
mummunan yanayi,-1
badinage,-1
da kyau,-1
wasa,-1
mamakin,-1
jaka,1
bagascosis,-1
bagassosis,-1
bagatelle,1
koto,-1
gasa,-1
baker ta eczema,-1
yin burodin cakulan,1
foda yin burodi,-1
daidaitaccen abinci,1
balanitis,-1
balanus,-1
m,-1
m fuska,1
m kai,-1
m pated,-1
gyaran fuska,-1
mai kwalliya,1
rashin kai,-1
amintaccen,-1
balewa,1
balking,-1
shanawa,-1
mai goge,1
balan-balan,1
wurin zama na balan-balan,1
jefa kuri'a,1
balloing,1
kwallaye sama,-1
ruwan sha,-1
ballyhoo,1
balm na gilead,1
bakin ciki,-1
balsam,1
balsam mai kamshi,-1
