"linenumber","sentiment","tweet_text"
61,1,"Hmm duk wani ma aikaci da kasani yakamata kadube su Dan dole sai da su zaka cinma abin da kake kwadayi da"
62,2,"Allah ubangiji ya tabbatar da alkhairi"
63,1,"Gaskiya wannan kuduri yayi wllh hakan yakamata aringayi Sabida wllh in har anayi musu haka To zasu rg abubuwan da sukeyi"
64,7,"Black Maria shiga ba biya sauka da Allah ya isa"
66,4,"Dama wani tarbiyya garesu mai tarbiyya wlh bazatyi hakava"
67,4,"Allah ya Kara basu nasara"
68,3,"Da fatan ya isa inda ya dace"
70,7,"Duba da yadda uwa takeson yaranta idan bah dai shafar aljanu bah toh sihiri neh aka mata...Allah ya kyauta"
71,2,"Allah ya basu zaman lfy da zuri'a dayyiba amin"
73,1,"Fita da Allah ya isa bah"
75,-1,"Iskanci dai kowa ya aikata iskan ci sa sai fake da Aljannu"
76,6,": Shiga ba biya fita da Allah ya isa"
77,-3,"Ba matsalar kwakwalwa bane kuma ba shafar Aljannu bane. Saboda muna ganin mahaukata masu yawo goye da yayansu basu kashe su ba."
78,0,"Sabida zaluncin da sukeyi ma mutane"
79,1,"Kin makara, don kin San hukuncin ubangiji kafin ki aikata."
80,4,"Allah ya yafe mana gaba ki daya."
81,0,"Mai sabulu take da farin ta"
82,0,"Dan Adam Ajizi ne, Allah ya gafarta muna baki daya."
83,0,"In aka ciza dai yana da kyau a dinga busawa hon"
84,2,"Kaji yarinyar kirki. Allah ya yafe mana gaba daya.... Kin kyauta."
85,3,"Abun mamaki alokacin da kike yi hankalin ki ne yagushe ALLAH ya karemu da yin da nasani"
87,11,"Tayi daidai , ina fatan ta nemi afuwar Ubangiji, Allah ya yafe mana gaba daya"
88,1,"To da safe dubi jikinai"
90,0,"Malamin malamai na duniya Annabi Muhammad Sallallahu alaihi Wa Alihi Wasallam."
91,-1,"Fatan mu Allah yagafartamana baki daya Amman Ayayin da muka zoyin wani Abu mutina fa Muna da ubangiji kum"
92,1,"Anya kuwa yayntane? Akwai tambaya"
93,2,"To Sai kafara gabatar da na hukuncin masu wuff da dukiyar al-umma"
96,10,"Sosai sosai... Mun gamsu"
97,5,"Ga masu tunani yana sanitizing wurin"
99,0,"Balbela take da haskenta"
101,11,"Saboda daka yarda kashiga cikinta to kashinka yabushe don saika basu kudi"
103,0,"Dama Ai Dana Sani keyace Da Tasani Tun farko bata yibah"
104,1,"sabida zaka biya a cikin Tatar za'ayi maka"
106,-1,"Laifi tun kafun ka aikata ka san kuskure ne, amma ta biyawa son ranta, Allah ka yafe mana gaba daya"
109,2,"Allah data nema afuwa gunsa Allah gafarta mata"
111,2,"Sabida ko bakai laifiba in katashi fita sai kabiya na fetir (dalili dan gwabnati bata kulawa da hakan kok U"
112,-1,"Baba afuwa zata nema gurin mutane ba TANEME GAFARAR ALLAH DUK YAFI IDAN HAR TANASON ALLAH YASAWA AUREN ALBARKA"
114,1,"Aikowa dabba batayadda atabamata danta balle ace takashe da kanta."
115,0,"To, Mudai munsan mahaukachiya wadda take hauka tibran, bawanda ya""Isa yatabamata danta, balantana ace tak"
116,11,"Shiga ba biya, fita da Allah yaisa. A kashin gaskiya dakaji dan adam yace Allah yaisa tofa kasanicewa"
117,-2,"Kaji hegiya wai brownish toh yasin karya kike ba wani brownish inda brownish neh da nonuwan ki basu fito"
118,-1,"Sbd babu adalci a cikinta"
119,0,"Kawai baba munhakura da next level amaidamu inda akaganmu dan Allah baba wlhi mungasu"
120,1,"Saboda gwamnati ba ki asara ta rida da ta biya"
121,1,"Barka masoyan aisha aliyu tsamiya gababbanko"
122,0,"Kuma fita da Allah ya Isa ba"
123,2,"Shehi Tijjani Shek Ibrahim inyas Dahiru bauchi Ml uba safiyanu kadi musa adam"
124,-2,"Allah ya bata lfy kuma Allah yasa amata adalci tunda ba'ahaiyacinta takeba"
125,0,"Alhamdulillah day Allah yaganar da it's dawuri"
127,1,"Ta nemi afuwa ga Allah yafi mata afuwan social media."
128,1,"Komadai menene zatayi bayani"
129,-1,"Shigarta ba alkhairi bane"
130,2,"Tanema agun Allah yafi mata"
131,3,"Fita ba dadi ba.."
132,-1,": Ina ruwan mu toh,ta nemi afuwa wurin Allah"
133,2,"...Fita da Allah ya isa. Ko gawa ko mai laifi kaga ko babu mai biya a cikinsu."
134,2,"Mai laifi shi yake shiga"
135,2,"Ga amsar yadda za agano haka, akunna wuta inta shiga ciki to da alamun ba hauka bane inkuma shafar aljanu"
136,5,"Saboda mutane sun gamsu dari bisa dari da aikin Yan sanda yasa ake biya kafin sauka."
137,4,"Allah ya yafe mana baki daya. Wallahi ta birgeni... Kuma ta nuna mutimiyar kirki ce ita."
138,10,": Domin duk Wanda ya shiga Motan toh sai ya biya kamun ya sauka"
139,-1,"Ina ruwan mu toh,ta nemi afuwa wurin Allah"
141,10,"Domin duk Wanda ya shiga Motan toh sai ya biya kamun ya sauka"
142,-1,"Ta nemi afuwa wajen Allah kawai!"
143,0,"Bazan manta da malamai na na fira are ba! Su ke burge ni a rayuwa"
144,3,"Shashasha, amma banga laifinta ba da yawa kamar laifin iyayenta ,wannan ya nuna uwayenta basu ma san addini ba"
145,1,"Gaskiyane dako ansamu chanjin rayuwa"
146,0,"Allah saka ammakasani cewa ba iya malamai kake mulkaba"
147,2,"Allah taimaka allah bada saa"
149,0,"Balbela da farinta aka ganta"
150,19,"Aiki banza zakawo kudiri afara andani dashi kan talakwane kawai. Nan su hisba ba basa aiki kan masu kudi balle manyan en siyasa."
153,0,"Tafara tuba waminta tukun tatuba wa allah"
154,3,"Sauka da Allah ya isa a zuciya itama"
156,4,"gaskiya kin tafka kuskure wllh haba shirmen har ina ko bra babu a jikinki kamar kafura ni banga laifin k"
157,-1,"Pita da Allah ya isa"
158,5,"Shiga ba biya sauka da Allah Ya isa. Domin ita dama ba motar fasinja ba ce"
160,1,"Saboda motar tsaroce"
162,3,"Allah yakarbi tubarta, ya tsare gaba."
163,6,"Shiga ba biya fita da Allah ya isa"
164,0,"Barbela take da fari"
166,-2,"Abuntakai ci da ban haushi wannan fa tsakanin ta da Ubangiji ne ta fito tace kuskure aka samu kuma baxata 11"
167,14,"Zaka shiga kyauta amma fa matukar kaga ka sauka to lalle sai ka biya kudin mota koda kana da gaskiya da"
169,8,"Malamin daya koya min ABCD malam Balarabe Allah ya kara masa lafiya"
170,1,"To Alhmdllh"
171,-3,"Da zaa wayi gari kenan kashi tara (9) cikin goma (10) na yan najeriya basu da hannaye.!"
172,-3,"Allah ya yafe mana kura kurenmu"
174,7,"Saboda an riga an biyawa duk mai shiga.!"
175,-5,"Malama Maryam biology teacher (Muhd vice Adamu kuka) fagge Kano Itace wacce baxan iya mantawa da itaba ac"
176,-3,"Ba gabatarwa ba tabbatarwar"
177,0,"Allah ya kyauta"
178,-4,"Kije ki nemi afwa gurin ubangijin ki Don shi kika sabawa ba mutum ba, sabida duk kin manta da ayoyin da A"
179,-1,"Kai dai ake ji"
181,-2,"Yafi Kama da shafar aljanu,Allah ya Kare mu."
182,6,"Tarbiyan gidan manya bai yi ba, yar ka tayi shiga kamar ba musulma ba, kuna murna, Allah wadaran Naka ya"
183,-3,"sai dai gashi koma kai tarazana ka cikin lokaci kadan"
184,-2,"Babbar afuwa gurin Allah zata nemeta, Allah ya shirye mu Baki daya."
185,-4,"Sabida kayi laifi ne shiyas sa"
186,-1,"Ton za, a ne ake shawara basai andawo ba,a akiyaye"
187,-6,"Allah yasa ba irin karin albashin yan sanda yayi masu ba wato kari ama a fatar baki."
189,-2,"Ba cinya ba kafar baya"
191,4,"Ni dai a gaskiya malam lawal tsafe."
192,-2,"Allah sarki shaugabaninmu na arewa mune da mulki mune abaya Kota wane fani ai doli 'yan kudu surenamu ya Allah kakama arewa mafita"
193,-3,"Allah yasa ba irin karin salary din yan sanda bane abiya sau daya a kyalesu"
195,-2,"Saboda mafi yawan masu shigarta laifi yakai su aciki"
196,-1,"Aikin banza daga baya kenan allah ya kyau"
197,4,"Kamata yayi taje ta nemi ilmin addini saboda gaskiya tanada karacin ilmin addini.. Allah ya shirye masu ire iren wanyannan mutane"
198,-1,"Ta kira number Mala'ikun da suka rubuta ta rojesu inma bribing zatayi ya rage nata. da yerka 8"
199,-1,": Ba cinyaba kafar baya."
201,-1,"Wa za ta yaudara? Allah?"
202,-4,"Ita ta jiwo. Duk fitsararta ba ta Kai Fir'auna ba. In ta ga dama ta riqa yawo tsirara. Ba laifinta ba ne"
203,0,"Aka haifi mai omo"
204,1,"Fita da Allah ya Isa"
205,-2,"Motar zalunci ai dole abiya"
206,-1,"Kinaimi afuwa agurin Allah shiyafi."
207,4,"Gaskiya dayace daga kinta..."
208,0,"Belbela da farinta"
209,-1,"Abu mai suna Danasa keyace. Taje tanema Gafaral Allah Bana jama'a ba."
211,0,"Baya kyautatawa nakusa dashi."
213,2,"Fita da Allah ya'isaba"
215,1,"To ina ruwansu da kayanta."
217,4,"Ehh kadanyi gaskiya"
218,1,"Domin za'a biya a station."
220,0,"Allah ya kyauta"
224,4,"Shiga ba biya fitowa se da Allah ya isa"
225,5,"Lokacin da naji ya kamu na tuna da wani film dana taba gani mai suna , inaga ya"
226,-1,"Futowa sai da Allah ya isa"
227,5,"Gaskiya dey,Haka ake so"
228,9,"Allah ya taimaki jagoran talakawa hakika next level ta soma aiki"
229,4,"Hmm! Saboda Ba'a karbar sisi wurinka sai an sauka, kudin beli yafi kudin mota."
232,2,"Ya zama Dole yayan manya su kiyaye abun da zai jawo checked kuce a tsakanin Al,umma hakan Shi ya fi dacewa"
233,-1,"Saboda namasu laifi ne Fita da Allah ya isa"
234,6,"Hhhh, wayace shiga ba biya, AI Duk wanda yashiga Motan yan sanda a Nigeria Yasin sai ya biya."
235,-2,"Wanna kuduri naka bazai samu karbuwaba gaskiyar magana"
236,6,"Hakan yayi daidai"
237,2,"Fita da Allah ya'isa"
238,-5,"Baiwar Allah kinema gafarar Allah ba mutane ba sabida muma dukkan mu masu laifi neh. Allah ya yafe mana baki daya. Aminn."
239,3,"Abinda bansanii ba nan shine malam jamioi koko duka malamai harda na secondaries and primaries"
240,-1,"Malaman turanci na Mal Isa Musa"
241,-3,"Ai wallashi Ahalin yanzu kokashi kakeyi idan kagadan Najeriya to kazaune Abinka sabida Ayanxu mutane sinkoma sa ido Daminafirci"
242,5,"HAUKA KENAN . ALLAH SWT YA KAWO LAFIYA AMIN"
243,2,"Ashe kuwa za'a yanke hannuwa da yawa indai wannan kudurin ya tabbata"
244,-3,"Agurin Allah zatanaimi yafiya domin kuwa shitayiwa laifi ba mutaneba da sharadin cewa bazata sake aikata laifi irin saba."
245,-3,"Muna goyon bayahakan zai rage matsalar."
246,2,"Allah dai ya tabbatar amma nafi ganin siyasa ce kawai zaayita wasa da hankalin mutane har lokac"
247,0,"Afuwa wajen mutane? Zuwaga Allah kadai ake tuba, mu tsarkake niyya, mu tuba ga Allah dukkanmu"
249,6,"Masha Allah Allah ya Saka da Alkhairi Baba Dattijon Azziki muna godiya Sosai Baba"
250,2,"Ai da kunya yar musulmi kuma ma yar yar arewa allah ya yafe mata"
251,-1,": Ba cinyaba kafar baya."
252,-9,"Ba gabatar da kudirin bane wahala, yanke hannun shine wahalar, babban matsalar kasar nan kenan rashin zar"
253,-2,"Antambayi Aljannu Sunce karya takemusu, kawai tsabagen rashin hankalin matan Hausa-Fulani ne"
254,2,"Gaskiya bazaii wuce Abu biyunnan ba"
256,2,"Allah ya karemu baki daya daga abin cutar wa, Amin"
257,-6,"Allah ya kawo musu mafita Ameen"
258,0,"Uhmm dama kinyi shuru da bakinki, kije ki tuba wurin Allah, kuma ki daina faqat."
260,1,"Nanesa kesha, yana nufin nanesa ne suke morar mutum."
262,0,"Balbela ke da farinta"
263,4,": Dama reshin kunya ne kawai kizo kina bayyana siraicin ki a gaban uwar mijin ki da uban mijinki da ubanki da"
264,4,"Dama reshin kunya ne kawai kizo kina bayyana siraicin ki a gaban uwar mijin ki da uban mijinki da ubanki"
265,1,"Na Kenya ko Morocco??"
266,-1,": Ba cinyaba kafar baya."
268,-7,"Ai dama an bar Allah ne shi yasa ake ta Shan wahala wlh"
269,6,"Kowa ya yi fada da damissa.....be nemi azamna lafiya ba"
270,2,"Allah kayafi mata sabo da annabi s a w ameee"
272,0,"Shikenan munafukai sai su rufe bakin su"
273,5,"Allah yakaramasu nasara"
275,1,"Mai kyauta a daji gakuma nagida suna bukata"
276,0,"Allah ya kyauta"
277,0,"Afuwar allah zata nema ba ta mutane bah"
282,-1,": Ba cinyaba kafar baya."
283,0,"Allah yayimana ufuwa baki daya"
285,6,": Mungani Allah yafemata kuma yabasu zama lafiya"
286,6,"Mungani Allah yafemata kuma yabasu zama lafiya"
289,-1,"Ta fahimci bata kyautava Allah y kiyaye gava"
290,-1,"Mohd Dodo"
292,-3,": Allah zata roka afuwa ba jamaa ba ai"
293,-2,"Allah ya kawo mana dauki"
294,-3,"Ayya hakane daman rayuwa inka gane Kayi kuskure sai ka nemi tafiya gun allah.yafe Mana Baki daya"
296,5,"Allah ya karba tubanki da namu gaba daya, mafi alkhairin mutane sune wandanda sukayi kuskure su ka kuma n"
298,4,"Gaskiya kayi hangen nesa"
300,-2,"Cece kuce kuma? Ba tuba tayiba kenan. Toh ai ba mutane tayiwa laifiba"
301,-1,": Ba cinyaba kafar baya."
304,7,"Mace ta fito cikin jama'a da irin wannan shiga Lallai Munga irin tarbiyyar gidan Nuhu Ribadu a fili, Kuny"
305,-3,"Allah zata roka afuwa ba jamaa ba ai"
307,2,"Wallahi kun dame mu da wannan iyayin naku, baku da kamus ne? Ku duba acan mana"
308,2,"Ni abinda na dauka zagin shuwagabanni halin bakin mutun ne duk Adalcin shugaba wlh se ya sha zagi wajan baki dan Africa."
309,-1,"Toh dama ai ba hadi"
310,-2,"Allah sarki haka akeso ga musulmi mumini idan yai abu badai dai ba ya gaggauta nadama munafatan Allah ya yafemata"
311,1,"Ta tuba zuwa ga Allah"
313,-2,"Ba girin girin ba ............"
314,-4,"Bata kyauta ba, kamar ba diyar bahaushe ba, kamar ba musulma ba, Allah ya Kara shiryata, ta nemi afuwa gurin Allah."
315,-2,"Tinda yau ranar malamai ta duniya bari in Dan koyamuku wani Abu dalla dalla house=kake bicyle="
316,-1,": Ba cinyaba kafar baya."
318,2,"Wajen Allah ta nema dai ko?"
320,0,"Allah Gafurum Rahimun Ne Ubangiji ALLAH Yasa Mudace Duniya Da Lahira"
321,0,"Aikin banza Chan asu gada"
322,-3,"Qurunqus!!! Toh mutum kuma ko shedan ne shi yanzu ai dole ya hakura koh!"
323,-1,"Ki nemi afuwa ga Ubangiji shine mai afuwa. Allah Ya yi mana afuwa baki daya"
324,0,"balbela takeda fari"
326,7,"Ubanwa yace tayi Batasan daidai itaba"
327,0,"Allah ubangiji ya kyauta"
330,-1,"Tarbiya dai ita ce mutum"
331,-3,"Shine magana"
332,-1,"MashaAllah. Amma dai ta nemi yafiyar ubangijinta shine tabbataccen yafiya bana Dan Adam ba. Allah ka yafe mana"
334,1,"Amana takaiwa mutanan gwale g a c Malam abdurrazak tirikwata Malam zangoma Malam maje Malam Zuma"
335,0,"Barbela Take da Farinta"
337,-1,"Bazan manta da fele ba kanshi saiyasha wiwinsa yayi dam zaitaho aji ammma kolittafi bayadunawa haka yakemana civic education"
338,-3,"Zai rage nata ne ai"
339,0,"Ki nemu tuba zuwa ga Allah SWT, ba mu bah"
340,-1,"Aljanu fa ba mahaukata bane. A daina danganta harkar nan dasu..."
341,11,"Allah sarki, wayayye shi yake karbar gyara. Allah baku zaman lafiya da alheri dawwamamme."
342,-1,"Kwalliyar ta ba ta biya kudin sabulu ba"
343,-1,"Mu a suwa ta nemi afuwar mu, wannan ae tsakanin ta da mahaliccin ta ne. kai ma ka nemi afuwar mahaliccin ka"
344,0,"Ansan Fulani da alkunya amma abin da tayi ya sabama Dakar musulumci da kuma al-adal malam ba haushe Allah ya kyauta"
345,0,"Kai alhamdulillah wllh nayi farin ciki sosai To sai ku mutu yanzu gashinan tana neman afuwar ku"
347,0,"A gurun Allah zata nema, mu kuma meye namu a ciki"
348,1,"Akwa lauje cikin Nadi akwati garau gawarma garau Kuma shekara"
349,-1,"Wlh yana kashe yayan halittar dake wajan"
351,-1,"Karyar banza"
352,-4,"Ta nemi afuwa a gurin Allah domin Allah shine Wanda ya hana anuna tsiraici ba mutane ba"
353,4,"Allah ya yafe mana gaba daya!"
356,1,"Can ta matse muku,"
357,1,"Abdullahi usman gadon kaya Kano state"
360,-1,"Kawai tanemi tuba agurin ubangijinta bawai gurin mutane, bawanda ya,isa yakareta daga azabar Allah koda n"
361,0,"Balbela take da farinta"
362,-4,"Suma Yau An yaudaresu da wai Karin Albashi"
363,1,"mu ubanta ne ko uwarta"
364,-4,"Ta nemi gafarar ubangijinta ba muna dan bamu yaiwa laifiba Mudai mun ja hankalintane kawai, kuma mun god"
367,3,"Ya duba jikinsa"
369,2,"To duk wanda ya zage ta ya rage mata alhaki Wallahi"
371,1,"Barka da zuwa Edison"
372,0,"Noma na duke tsohon chiniki kowa yazo duniya Kai ya tarar"
374,-1,"Allah yakiyaye gaba yamayar musu da alheri"
375,0,": Mai hakuri yakan dafa dutse yasha romon."
376,-1,": Ba cinyaba kafar baya."
378,-1,"tadai nemi afuwa wurin Allah mu nan baruwanmu"
379,-3,"tanemi afuwa awajen Allah ba a wajen wani ato ba"
380,0,"Allah ya kyauta"
384,2,"Allah Yasa Zuwanshi Yazama Kaman Zawan Van Persie Man Utd Amin"
385,1,"Allah ma Yana son masu Neman gafarar sa bayan sun sa6a Masa. Jeki mun yafe Miki Fatee, aci amarci lpy. Al"
386,-2,"Auty route metropolitan school kawo Kaduna"
387,-3,"Taje ta nemi gafara gurin Allah domin shi tama laifi"
389,1,"A wa tayiwa laifi? Ko to baba a yafe mata"
390,-1,": Ba cinyaba kafar baya."
392,3,"Wannan yayi daidai kafiri ma kenan amma musulman gaske sunyi shiru"
394,1,"barka da zuwa"
395,2,"Takyauta Allah yayafe mata"
396,1,"Muna masshi barka da zuwa"
398,2,"Aikin gama, ya gama"
399,1,"Hmmm, ayidai mugani indai Duniya ce ta ishe kowa Shakwara da Jamfa. Badai taqamar arziki ne ke jawo hakan ba. Ayshi kenan !"
401,1,"Yakamata de taje tah nemi ilmi addinin musulunci Don tasan abnda Allah ya haramta da Wanda ya halatta, th"
402,8,"Wama zai hada, ai sama tayiwa yaro nisa ! Na gaba yayi gaba....... ???"
405,6,"Tayi kokari. Da wasu neh yadda akai mata ca, saidai a qara baza su gaba."
406,3,"Mtswwwww! Daga baya kenan anyi sadaka da Karuwa."
407,0,"Daga baya kenan..istigfari xatai ba Neman afuwar mutane va"
409,-1,"Ai rashin hankaline"
410,5,"Allah ya yafe mata, yakuma bada ikon kiyaye gaba"
411,-1,"Tunda gwamnati ta kasa kiwata mutane sai akoma ga jakunan"
412,2,"Aikin Kiba Kiba ga goshi, idan haka kowa zai Iya yi daga baya sae nemi yafiya tunda gadon gidan su ce"
413,1,"Toda inaruwan mutane da abinda tayi"
414,-1,"Ta nema a wajan Allah ba a wajan mutane ba"
415,-2,"Afuwar Allah itace abin nema ba mu kartin da muka kalle ta a soshiyal midiya ba."
416,3,"Allah nason masu tuba,Allah ya shirya Mana zuriya"
417,2,"Allah dae yasa mufi qarfin zukatarmu, Amma gafarar ubangiji shi yafi dacewa ki nema"
418,3,"Haka akeso inmun yayi kuskure akayi mai tuni toya fahimta sai tanemi gafar Allah shine farko kafin tamuta"
419,0,"Allah ya sakawa malaman mu da alkhairi"
420,-1,": Ba cinyaba kafar baya."
422,-2,"Allah nai yce mace ta suturta jikin ta dan hka shi zata naimi yfiya b alumma ba Allah yabamu ikon kare mutuncin mu"
423,6,"Malam sani A shehu yakuladani sosai daga shawarwari da sauransu"
424,-1,": Ba cinyaba kafar baya."
425,6,"Tom Allah ne masani Amma ai cewa akayi sabida mijin ta zai Yi Mata kishiyane Aljanun tane basa San kishiya"
426,6,"Kowa yayi daidai kansa. Afuwa kuma datake nema agurin Allah yakamata ta nema bawani kato ba"
427,-2,"Afuwar Allah itace abin nema ba mu kartin da muka kalle ta a soshiyal midiya ba."
428,-1,"Kowa yayi fada da damisa yasan yafi karfinta ne"
429,-1,"Daga baya Kenan, ba afuwa zata nema ba, ta gaggauta Tuba ta koma zuwa ga Allah"
430,-1,"Bata nemi afuwa bama za'ace ta nema but anyways, Allah yakara mana tsoronsa da bin ka'idojinsa"
431,1,"Daga baya kenan...Allah dai ya shirye mu sabida aikin gama ya gama"
432,0,"Allah yah yafe mana baki daya"
434,-1,"Hauka kenan. Iyayen ta basu san abinda sukeyi"
435,2,"Zata nemi yafiyar yaranta anan gaba domin wannan ba tarbiya bane"
436,-1,"Tusa bayan hari kenan"
437,1,"Ta nema awajen Allah"
440,1,"Yafi mata inba haka ba datasha za ne hhhhh"
441,-2,"Gun Allah zata nemi afuwa Dan shi ta sabawa"
442,3,"Neman gafar Allah shine kan gaba ba neman yafiyar mutane ba."
443,0,"Ta kyauta"
444,-1,"Wanan tsakanin ta da Allah mu ba ruwan mu"
446,13,"Allah ya ta yi wa tuba, Kuma ta gyara halinta, Dan hakan ya nuna qaracin tarbiyya"
447,0,"Wanna tsakanin ta da Ubagijin ta ."
448,2,"Kamar karuwa, maybe itace"
449,-1,": Ba cinyaba kafar baya."
450,3,"Allah yabamu ikon kyautatawa kanmu ke kuma Allah yakiyaye gaba"
451,2,"beda hankali"
452,-3,"Kuma an yafe mata, amma wani talaka yayi laifi, ya nemi afuwa, sai akace sai an kashe shi. Oh Africans who do us?"
453,1,"Ta nema afuwan Allah bana mutane bah. Allah ya yafe mana"
454,-1,": Ba cinyaba kafar baya."
455,-1,"Ba cinyaba kafar baya."
456,-1,"Malam maryam ya Allah kasa kamata da gidan aljanna Wllh wani lokacin sai naji Ina son malam maryam wll"
459,-3,"Afuwa ai ta Allah yakamata tanema Tunda tagama tallata kanta."
461,1,"Ta nemi gafarar Ubangiji shiyafi dacewa"
462,-2,"tanemi afuwa awajen ubangiji bawajen wani ato ba"
464,2,"Bazan manta da malam Suwaiba, saka makon tsayawa da tayi wajan ganin munyi kyakykyawan karatu.Alhamdu lillah, mungode Malama."
466,0,"Mal Abdullahi mai kano biogas form master na ne ah ss1 kuma ya daukeni Agric science"
468,3,"Allah yakara sauki Presidor"
472,-2,"Ba na wani ba"
473,13,"Madam kin yarda an karkatar din kenan! To sai ki bayyana wa duniya matakin da za ki dauka tunda ko waye y"
475,0,"BARBELA TAKE DA FARINTA"
476,1,"Malam yusif a makaranatar gwauran dutse kano Yana koyar Dani ACCOUNT Ina son subject dinsa"
478,3,"Allah ya sakawa malamai na gaba dayansu da alkairi"
481,1,"Hmm Mal. Nura mathematics teacher, day science college, kano, &amp; malam bello chemistry teacher"
482,1,"Malam buhari dan Allah ku daedaita da Asuu mu samu mu koma makarantun mu"
486,0,"Allah ya rufa asiri, Allah yasa Bata cikin hayyacinta ta aikata kisankan"
487,1,"Konto bukar Idi sarkin fawa Abdullahi Ya umara bulama"
488,0,"Malam Bashir primary da malam mukhtar secondary"
490,-1,"Sai kun fada mun ji"
495,-1,"Wannan bahujja bace"
496,-2,"Kishi ne kawai"
498,0,"Babu Shaffar aljanu ko tabin hankali, tsabar kishi, jahilci, rashin tawakkali, rashin isashshen ilimin ad"
499,-2,"Wannan zanchen soki burudune kawai ba abinda wannan tsohon zai iyah ai baije makarantaba bale yasan daraj"
502,0,"Na nesa ne ke anfana"
505,0,"Barbela da farinta"
506,0,"Tun kafin a haifi uwar mai sabulu balbela ke da farin ta"
507,-1,"Ataqaice dai mugu kawai"
509,3,"Shakkiyi shugaba da kasar Amurka ta taa yi kenan cikin sama da shekaru dari biyu na zaman ta jamhuriya"
510,0,"Wlh nagaji DA ganin posting akan buhari"
511,0,"Mutun ne da yan uwansa da abokansa na kusa dashi basa moriyar,sai na nesa."
512,4,"matsalar kwakwalwa ce gaskiya, Mutanenmu na fama da wannan matsalar amma sai ace wai aljannu ne, alhali u"
513,0,"Malamin primary Mr Ramadan bana iya mantawa dashi"
514,-1,"Allah sarki ni dai malama aminatu malama tace wadda bazan taba mantawa da ita ba"
515,5,"Tooor said an bincika sanan a gani mastalar"
516,-2,"Bari ba"
